H-ID;title_main;title_alt;author_id;author;publisher_id;publisher;publication_place_id;publication_place;publication_date;url1;url2;genres;PDF
4471;Việc lập hiến trong một quốc gia độc lập;La Question constitutionnelle dans un état indépendant;2465;Nguyễn Phương Nam;3303;Éditions Tân Việt;3216;Hà Nội;1945;http://catalogue.bnf.fr/ark:/12148/cb357566728;https://gallica.bnf.fr/ark:/12148/bpt6k4245882j.pdf;Chính trị - Politique(s);True
4472;Việt Nam Phật giáo sử lược;Histoire du Bouddhisme au Việt-Nam;2498;Trần Văn Giáp;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35755313p;;;False
4474;Vương Dương Minh, thân thế và học thuyết;Wang Yang-ming, sa vie et sa doctrine;2086;Phan Văn Hùm;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35757894c;https://gallica.bnf.fr/ark:/12148/bpt6k4242528s;;True
4494;Một cổ đôi ba tròng;;2468;Trương Tửu;3303;Éditions Tân Việt;3239;Mỹ Tho;1940;http://catalogue.bnf.fr/ark:/12148/cb315021751;https://gallica.bnf.fr/ark:/12148/bpt6k4242287m;;True
4526;Mùa cổ điển;;2521;Quách Tấn;3303;Éditions Tân Việt;3229;Nha Trang;1960;http://catalogue.bnf.fr/ark:/12148/cb355400629;;;False
4759;Cây ná trắc;;2577;Vũ An Khanh;3303;Éditions Tân Việt;3214;Sài Gòn;1948;http://catalogue.bnf.fr/ark:/12148/cb31609766k;https://gallica.bnf.fr/ark:/12148/bpt6k4237547d;;True
4760;Huỳnh Mẫn Đạt: 1807-1883;;2578;Nhất Tâm;3303;Éditions Tân Việt;3214;Sài Gòn;1956;http://catalogue.bnf.fr/ark:/12148/cb356071769;;;False
4761;Một chiến sĩ;Un Combattant, roman;2579;Nguyễn Ðạt Thịnh;3303;Éditions Tân Việt;3214;Sài Gòn;1949;http://catalogue.bnf.fr/ark:/12148/cb35756181v;https://gallica.bnf.fr/ark:/12148/bpt6k4238106d;;True
4763;Phan Văn Trị: 1830-1910;;2578;Nhất Tâm;3303;Éditions Tân Việt;3214;Sài Gòn;1956;http://catalogue.bnf.fr/ark:/12148/cb356071738;;;False
4764;Phương pháp tập lội;Méthode de natation, manuel;2581;Nguyễn Tấn Lộc;3303;Éditions Tân Việt;3214;Sài Gòn;;http://catalogue.bnf.fr/ark:/12148/cb35756727q;https://gallica.bnf.fr/ark:/12148/bpt6k4245221s.pdf;;True
4765;Trận giặc trẻ con;La Guerre des gosses, roman;2582;Lâm Nhâm;3303;Éditions Tân Việt;3214;Sài Gòn;1949;http://catalogue.bnf.fr/ark:/12148/cb35754434p;https://gallica.bnf.fr/ark:/12148/bpt6k4237570n;;True
4766;Trương Vĩnh Ký, 1837-1898;;2583;Khổng Xuân Thu;3303;Éditions Tân Việt;3214;Sài Gòn;1957;http://catalogue.bnf.fr/ark:/12148/cb44327853f;;;False
4767;Truyện Thuý Kiều;;3013;Nguyễn Du;3303;Éditions Tân Việt;3214;Sài Gòn;1950;http://catalogue.bnf.fr/ark:/12148/cb456376098;;;False
4768;Văn hóa là gì ?;Qu'est-ce que la civilisation ? Manuel de sociologie Coll. Quan-hải;2584;Đào Duy Anh;3303;Éditions Tân Việt;3214;Sài Gòn;1948;http://catalogue.bnf.fr/ark:/12148/cb36067284j;https://gallica.bnf.fr/ark:/12148/bpt6k4234560b;;True
4769;Việt thi;;2585;Trần Trọng Kim;3303;Éditions Tân Việt;3214;Sài Gòn;1949;http://catalogue.bnf.fr/ark:/12148/cb314895294;;;False
8150;Dở chồng báo cũ;En feuilletant la pile des vieux journaux. Recueil des principaux articles parus dans la presse au cours de l'année 1939;2086;Phan Văn Hùm;3303;Éditions Tân Việt;3239;Mỹ Tho;1940;http://catalogue.bnf.fr/ark:/12148/cb35752301z;https://gallica.bnf.fr/ark:/12148/bpt6k42424026;;True
8217;Tìm nghĩa văn học;A la recherche du sens de la littérature, essai;2089;Nguyễn Hưng Phấn;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb35756333j;https://gallica.bnf.fr/ark:/12148/bpt6k42391504.pdf;;True
8919;Một ngày của Tolstoï;"Một ngày của Tolstoï ; [Phần phu Tụ ̛truyện... Stefan Zweig viết... / Kiều-Thanh Quế dịch] -- 1942 -- livre";2194;Stefan Zweig;3303;Éditions Tân Việt;3216;Hà Nội;1942;https://catalogue.bnf.fr/ark:/12148/cb357609976;https://gallica.bnf.fr/ark:/12148/bpt6k4242956g.pdf;;True
8924;Mái tây (Tây Sương Ký);;;;3303;Éditions Tân Việt;3216;Hà Nội;1944;http://catalogue.bnf.fr/ark:/12148/cb32671248x;;;False
